id,gender,age,country,days_on_site_in_2016
207,F,50,US,10
208,,54,CA,2
209,,54,US,6
210,,27,US,4
211,F,23,US,17
212,M,50,US,25
213,M,28,US,20
214,M,39,US,14
215,M,54,US,4
216,,21,US,1
217,M,53,US,3
218,M,37,US,4
219,F,52,US,12
220,,23,US,5
221,F,54,US,9
222,M,45,US,3
223,,51,US,10
224,F,23,US,3
225,F,51,CA,6
226,F,51,US,4
227,M,30,US,9
228,M,34,US,2
229,M,29,US,5
230,F,38,CA,14
231,F,41,US,8
232,F,36,US,10
233,,52,CA,1
234,,44,CA,11
235,M,51,US,9
236,,35,US,32
237,M,35,CA,2
238,,23,US,10
239,F,28,US,17
240,M,39,US,15
241,F,29,US,6
242,,32,US,3
243,M,34,US,1
244,M,49,US,8
245,,42,US,2
246,M,24,US,18
247,F,25,US,2
248,,33,US,2
249,,44,US,12
250,F,43,US,8
251,,54,US,14
252,,31,US,24
253,M,31,CA,52
254,,34,US,8
255,M,49,US,5
256,M,28,US,6
257,F,48,CA,1
258,F,36,US,12
259,M,28,US,1
260,M,27,CA,21
261,M,22,CA,1
262,,47,US,7
263,,22,US,15
264,F,54,US,1
265,,32,US,17
266,F,33,US,14
267,F,40,US,10
268,F,43,US,2
269,M,39,US,2
270,,46,US,27
271,,53,US,6
272,,51,US,5
273,F,32,US,16
274,,33,US,2
275,F,23,US,2
276,M,40,US,18
277,M,36,US,6
278,M,39,US,42
279,,22,US,24
280,F,45,US,14
281,M,35,US,16
282,,43,US,6
283,,33,US,3
284,,27,US,35
285,M,23,US,23
286,M,27,US,5
287,,35,US,5
288,,38,US,5
289,F,40,US,22
290,M,28,US,3
291,M,32,US,6
292,F,38,US,27
293,,24,US,3
294,M,42,US,9
295,F,23,US,15
296,,46,US,5
297,F,38,US,15
298,M,37,US,6
299,F,22,US,2
300,F,54,US,4
301,F,44,US,7
302,,30,US,8
303,,30,US,3
304,F,54,US,1
305,F,53,US,23
306,,53,US,3
307,F,27,US,15
308,F,22,US,2
309,M,32,US,9
310,M,47,US,14
311,,28,US,23
312,M,39,CA,6
313,,46,US,2
314,F,48,US,21
315,F,54,US,3
316,M,45,US,12
317,,48,US,12
318,F,28,US,8
319,F,34,US,5
320,F,44,US,9
321,M,27,US,7
322,,31,US,25
323,,53,US,4
324,M,36,US,3
325,M,51,US,28
326,F,25,US,8
327,,27,CA,2
328,F,24,US,29
329,M,29,US,2
330,,52,US,1
331,,38,US,3
332,F,36,US,15
333,,34,US,15
334,M,21,US,7
335,F,33,US,38
336,F,44,US,32
337,,23,CA,22
338,F,36,US,4
339,,28,US,15
340,,39,US,5
341,M,40,US,3
342,F,52,US,7
343,M,28,US,28
344,,35,CA,35
345,,26,US,8
346,M,47,US,26
347,,43,US,1
348,M,21,CA,38
349,,45,US,50
350,M,29,US,12
351,,28,US,9
352,,29,US,2
353,F,38,US,1
354,F,46,US,20
355,,26,US,7
356,M,52,US,10
357,F,38,US,1
358,F,50,US,2
359,,54,US,27
360,F,29,US,15
361,F,43,CA,7
362,F,23,US,3
363,,39,US,13
364,M,28,US,3
365,F,34,US,6
366,F,42,US,14
367,M,21,US,1
368,F,49,US,33
369,,48,US,25
370,F,26,CA,7
371,F,46,US,12
372,M,39,US,12
373,,24,US,1
374,,24,US,2
375,,47,US,9
376,,47,US,13
377,,45,US,18
378,M,26,US,11
379,M,34,US,8
380,F,27,US,7
381,,39,US,1
382,M,53,US,7
383,,47,US,2
384,M,41,US,3
385,M,31,US,7
386,M,44,US,1
387,M,30,US,2
388,,50,US,19
389,F,23,US,2
390,F,30,US,9
391,,52,US,3
392,M,53,US,1
393,,43,CA,10
394,,47,US,15
395,F,50,US,11
396,M,41,US,3
397,M,23,US,3
398,,40,US,11
399,,43,US,8
400,F,24,US,31
401,M,36,US,6
402,,34,US,11
403,F,24,US,27
404,,26,US,3
405,M,26,US,5
406,M,35,US,33
407,F,53,US,8
408,,43,US,6
409,F,29,US,3
410,F,48,US,16
411,F,39,US,3
412,F,42,US,17
413,F,49,US,7
414,F,34,US,28
415,M,50,US,6
416,F,23,US,23
417,M,42,US,2
418,M,41,US,6
419,M,53,US,6
420,M,37,CA,1
421,,51,US,1
422,M,51,US,1
423,F,28,US,9
424,M,44,US,12
425,,49,CA,3
426,F,31,US,18
427,,35,US,53
428,F,21,US,1
429,M,42,US,5
430,F,43,US,5
431,,53,US,9
432,,39,CA,20
433,F,33,US,24
434,,48,CA,2
435,M,28,US,15
436,M,51,US,1
437,M,28,CA,8
438,F,26,US,1
439,F,39,US,19
440,M,34,US,15
441,M,27,US,6
442,,24,US,24
443,F,50,US,4
444,F,51,US,21
445,M,47,US,2
446,M,39,US,10
447,M,23,CA,12
448,,47,US,6
449,M,50,US,3
450,F,23,US,4
451,F,23,CA,5
452,M,21,US,10
453,M,54,CA,8
454,M,41,CA,1
455,F,50,CA,9
456,,28,US,19
457,,47,US,8
458,M,45,US,23
459,,35,US,3
460,M,30,US,16
461,,29,US,7
462,M,32,US,13
463,F,44,US,34
464,,30,US,25
465,M,49,US,27
466,F,48,US,7
467,F,46,US,15
468,F,38,US,7
469,F,35,US,2
470,M,32,US,3
471,,51,US,6
472,M,31,US,3
473,M,24,US,1
474,F,32,US,27
475,F,33,US,6
476,F,27,CA,17
477,,31,US,17
478,F,43,US,11
479,F,47,US,14
480,M,43,US,4
481,M,35,US,5
482,,33,US,11
483,M,41,US,5
484,F,23,US,2
485,F,23,US,31
486,M,48,US,6
487,F,22,US,19
488,,43,US,10
489,M,46,US,46
490,F,52,US,19
491,F,22,US,2
492,F,26,US,21
493,F,25,CA,5
494,F,26,US,12
495,F,24,US,13
496,F,54,US,8
497,M,39,US,3
498,F,36,US,21
499,,22,US,1
500,,49,US,3
501,F,42,US,16
502,F,47,US,3
503,,29,US,3
504,F,34,US,9
505,,38,US,2
506,,27,US,4
507,,26,US,12
508,,30,US,20
509,,53,US,27
510,,46,US,16
511,,48,US,6
512,M,46,US,17
513,,38,US,6
514,M,35,US,7
515,,21,US,5
516,F,24,US,29
517,F,31,US,25
518,F,26,US,9
519,M,36,US,38
520,F,35,US,9
521,M,45,US,42
522,M,53,US,7
523,M,22,US,1
524,M,46,US,19
525,,53,US,4
526,,28,US,5
527,,42,US,8
528,F,22,US,1
529,,29,US,8
530,,49,US,13
531,,34,US,2
532,M,51,US,3
533,,31,US,1
534,M,34,US,13
535,M,26,US,44
536,M,51,US,4
537,M,32,US,15
538,M,41,US,15
539,M,31,US,16
540,,26,US,11
541,,48,US,7
542,M,37,US,1
543,M,38,US,53
544,M,21,US,2
545,,41,US,2
546,,42,US,6
547,M,47,US,28
548,F,45,US,30
549,,42,US,12
550,M,29,US,26
551,M,26,US,6
552,M,51,US,1
553,,24,US,10
554,F,25,US,1
555,,39,US,1
556,M,24,US,5
557,F,53,US,3
558,F,21,US,3
559,F,22,US,12
560,M,49,US,17
561,M,29,US,9
562,F,49,US,10
563,F,26,CA,7
564,M,30,US,10
565,,21,CA,15
566,F,43,US,2
567,,51,US,5
568,F,34,US,9
569,,31,US,13
570,,31,US,23
571,,44,CA,5
572,M,29,US,3
573,F,36,US,1
574,M,47,US,12
575,M,40,US,15
576,,35,US,5
577,,41,US,17
578,M,21,US,6
579,,52,CA,11
580,M,45,US,46
581,,42,US,7
582,F,38,US,2
583,,54,US,4
584,,25,US,14
585,F,31,CA,9
586,M,35,US,4
587,F,33,US,2
588,,34,US,30
589,,28,US,19
590,F,39,US,4
591,F,28,US,4
592,,51,US,9
593,M,43,US,30
594,,43,CA,4
595,F,37,CA,10
596,M,24,US,5
597,,25,CA,18
598,F,40,US,2
599,F,40,US,2
600,F,49,US,4
601,F,36,US,7
602,,48,US,4
603,F,50,US,30
604,,30,US,15
605,,38,US,2
606,M,44,US,6
607,M,31,US,8
608,M,48,US,5
609,F,24,US,6
610,F,54,US,2
611,F,36,US,13
612,,41,US,10
613,F,52,US,6
614,,23,US,6
615,,34,US,1
616,M,23,US,1
617,,30,US,4
618,M,31,US,5
619,M,35,CA,24
620,,46,US,10
621,M,39,US,21
622,,24,US,2
623,,45,US,2
624,M,31,US,26
625,M,51,US,6
626,,25,US,6
627,,48,US,1
628,M,53,US,21
629,F,51,US,23
630,F,50,US,13
631,,54,US,9
632,F,32,US,7
633,,30,US,12
634,,31,US,6
635,F,28,US,9
636,,36,US,9
637,F,24,US,5
638,M,28,US,26
639,,36,US,16
640,F,24,US,7
641,M,34,US,14
642,M,48,US,3
643,M,52,US,1
644,,52,US,3
645,F,41,CA,10
646,,48,US,4
647,,30,US,20
648,F,45,US,4
649,,46,US,3
650,F,39,US,3
651,F,31,US,21
652,F,54,US,7
653,M,24,US,8
654,M,52,US,3
655,M,23,US,3
656,,45,US,8
657,M,42,US,1
658,M,33,US,1
659,M,40,US,2
660,F,24,US,27
661,,50,US,17
662,F,21,US,1
663,M,27,US,6
664,F,35,US,24
665,,35,US,13
666,,30,US,9
667,M,54,US,1
668,F,49,US,6
669,,36,US,24
670,M,47,US,14
671,,34,US,12
672,,46,US,1
673,F,47,US,4
674,F,26,US,43
675,,47,US,3
676,F,40,US,18
677,M,23,US,4
678,F,48,US,7
679,F,45,US,3
680,,26,US,14
681,,26,US,3
682,F,31,US,5
683,,30,US,8
684,F,42,US,16
685,F,43,US,2
686,M,25,US,16
687,,48,US,22
688,F,23,US,24
689,F,44,US,43
690,F,54,US,14
691,,26,US,4
692,M,40,US,5
693,,39,US,4
694,,22,US,7
695,,44,US,7
696,F,49,US,2
697,,34,US,5
698,,44,US,4
699,F,48,US,1
700,M,30,US,18
701,,42,US,3
702,F,40,CA,4
703,F,50,US,7
704,,38,US,7
705,M,37,US,3
706,M,21,US,8
707,,32,CA,6
708,F,54,US,1
709,M,30,US,2
710,,39,US,13
711,,31,US,2
712,F,33,US,12
713,M,36,US,10
714,,41,US,19
715,M,26,US,13
716,M,47,US,2
717,M,35,US,9
718,F,21,US,14
719,F,38,US,79
720,,29,US,7
721,M,28,US,2
722,F,42,CA,6
723,F,44,US,4
724,M,29,US,1
725,F,46,US,1
726,F,33,US,11
727,M,24,US,17
728,M,29,US,22
729,M,21,CA,3
730,,47,US,38
731,F,22,US,16
732,,43,US,2
733,F,25,US,6
734,M,40,US,1
735,M,46,US,4
736,F,46,US,2
737,,29,US,1
738,,26,US,16
739,,47,US,1
740,,53,US,34
741,F,22,US,5
742,F,50,US,5
743,M,29,US,6
744,M,22,US,6
745,M,33,US,17
746,,44,US,6
747,F,30,US,25
748,M,52,US,2
749,,47,US,3
750,M,31,US,34
751,M,44,US,7
752,,48,US,8
753,M,47,US,2
754,F,32,US,1
755,F,53,US,3
756,F,54,US,7
757,,31,CA,12
758,M,22,US,6
759,F,52,US,9
760,,42,US,1
761,,33,US,27
762,,30,US,7
763,M,41,US,9
764,M,21,US,21
765,F,30,US,11
766,M,26,US,2
767,M,50,US,2
768,F,54,US,8
769,,52,US,4
770,M,54,US,14
771,M,51,US,6
772,,28,US,17
773,F,44,US,20
774,,48,US,6
775,F,50,US,3
776,F,24,US,2
777,M,43,US,4
778,F,36,US,35
779,M,54,US,5
780,M,21,US,2
781,,36,US,5
782,,25,US,1
783,M,31,US,1
784,,35,US,8
785,M,47,US,13
786,F,47,US,14
787,,43,US,1
788,M,54,US,6
789,,36,CA,7
790,,43,US,45
791,F,24,US,2
792,M,37,US,2
793,,32,US,2
794,F,36,US,14
795,F,22,US,17
796,,48,US,1
797,M,31,US,4
798,F,29,US,9
799,F,51,CA,22
800,,41,CA,1
801,,28,US,4
802,M,51,US,8
803,,29,US,11
804,,31,US,25
805,M,40,US,18
806,,35,US,4
807,M,33,CA,16
808,,24,US,8
809,,36,US,12
810,,39,CA,5
811,,29,US,17
812,M,23,US,5
813,F,52,CA,9
814,,54,US,1
815,F,53,US,20
816,M,49,US,25
817,F,25,CA,10
818,M,22,US,24
819,F,31,US,4
820,F,40,US,23
821,F,50,US,10
822,M,24,US,27
823,F,43,US,32
824,M,45,US,5
825,,42,US,4
826,,38,US,15
827,F,33,US,10
828,M,30,US,2
829,,21,US,8
830,M,48,US,16
831,,32,US,16
832,F,36,US,1
833,,29,US,14
834,,21,US,9
835,F,34,US,4
836,,46,US,5
837,M,22,US,22
838,,48,US,7
839,M,34,US,5
840,,43,US,6
841,,22,CA,7
842,,44,US,4
843,,34,US,20
844,M,25,US,9
845,M,36,US,4
846,F,49,US,3
847,F,41,US,42
848,,25,US,12
849,F,53,US,2
850,M,41,US,7
851,F,32,US,1
852,,35,US,37
853,M,24,US,3
854,F,31,US,8
855,M,30,US,2
856,F,52,US,9
857,M,22,US,4
858,M,41,US,1
859,,39,US,9
860,,34,US,11
861,,36,US,2
862,F,42,US,1
863,M,28,CA,10
864,,30,US,8
865,,32,US,13
866,M,29,US,6
867,,40,US,29
868,,45,US,5
869,F,35,US,7
870,,34,US,6
871,F,49,US,1
872,M,39,US,2
873,F,49,US,1
874,F,45,US,1
875,F,50,CA,7
876,F,47,US,2
877,M,47,US,25
878,,45,US,19
879,,54,US,2
880,F,47,US,12
881,M,37,US,5
882,M,51,US,2
883,M,43,US,2
884,F,38,US,5
885,F,28,US,25
886,,30,US,3
887,M,26,CA,10
888,M,41,US,2
889,M,41,US,1
890,F,41,US,21
891,F,34,US,3
892,F,41,US,10
893,,48,US,7
894,F,37,US,5
895,,39,US,3
896,F,45,US,40
897,F,42,US,2
898,,22,US,3
899,,38,US,4
900,M,39,US,12
901,,49,US,5
902,,47,US,22
903,,33,US,7
904,M,35,US,3
905,M,45,US,11
906,M,39,CA,5
907,F,53,CA,3
908,F,48,US,13
909,,25,US,12
910,M,37,US,11
911,,50,US,8
912,F,21,US,4
913,F,52,US,68
914,,30,US,4
915,F,25,US,1
916,F,53,US,13
917,F,29,US,4
918,M,31,US,11
919,F,25,US,1
920,,32,US,3
921,F,38,US,13
922,M,45,US,3
923,,40,US,11
924,F,33,US,2
925,M,21,US,3
926,,23,US,6
927,F,32,US,18
928,M,31,US,13
929,M,38,US,20
930,,54,US,22
931,F,39,US,12
932,F,32,CA,4
933,F,44,US,6
934,F,29,US,6
935,M,41,US,5
936,F,41,US,17
937,M,42,US,33
938,M,34,US,2
939,F,36,US,3
940,F,38,US,12
941,,22,US,5
942,,31,US,3
943,M,34,US,40
944,F,38,US,13
945,F,46,US,4
946,,29,US,22
947,M,44,US,6
948,,45,US,1
949,M,53,US,5
950,M,44,US,12
951,F,35,US,1
952,,51,US,3
953,,38,US,25
954,M,45,US,4
955,F,48,US,10
956,M,44,US,9
957,,28,CA,11
958,,21,US,1
959,,46,US,62
960,M,45,US,14
961,F,46,US,6
962,,47,US,8
963,,28,US,5
964,F,27,US,3
965,,53,CA,15
966,F,31,US,18
967,,30,US,22
968,M,42,US,13
969,,32,US,4
970,,27,US,33
971,M,37,US,17
972,M,37,US,3
973,F,26,US,3
974,,43,US,2
975,F,22,US,5
976,M,22,US,12
977,M,47,US,13
978,M,38,US,7
979,F,29,US,19
980,M,29,US,4
981,F,39,US,19
982,M,24,US,1
983,,24,US,4
984,F,38,US,10
985,M,37,US,16
986,M,28,US,4
987,M,50,US,9
988,F,32,CA,8
989,F,53,US,3
990,M,34,US,2
991,,39,US,18
992,M,49,US,25
993,F,34,US,5
994,F,28,US,15
995,F,40,US,4
996,M,21,CA,3
997,,22,US,9
998,,44,CA,28
999,F,22,US,7
1000,,21,CA,1
1001,M,28,US,6
1002,F,33,US,17
1003,M,24,US,12
1004,F,44,CA,3
1005,,33,US,16
1006,M,22,US,23
1007,,28,US,5
1008,,48,US,3
1009,,52,US,7
1010,F,37,US,15
1011,F,46,US,2
1012,,41,US,15
1013,M,24,US,26
1014,F,41,US,33
1015,,28,US,10
1016,M,49,US,4
1017,,22,US,1
1018,F,37,US,7
1019,M,42,US,1
1020,F,33,US,2
1021,F,27,US,12
1022,,25,CA,19
1023,M,44,US,10
1024,,52,US,9
1025,M,26,US,19
1026,,48,US,31
1027,F,23,US,18
1028,M,28,US,6
1029,M,28,US,5
1030,F,45,US,9
1031,,33,US,16
1032,F,25,US,4
1033,F,43,US,3
1034,M,38,US,7
1035,,47,CA,15
1036,,28,US,4
1037,M,40,CA,18
1038,F,26,US,8
1039,,35,US,7
1040,,49,US,29
1041,,53,US,7
1042,M,45,US,9
1043,F,22,US,15
1044,,53,US,8
1045,F,39,US,8
1046,,22,US,2
1047,F,31,US,4
1048,F,23,US,6
1049,M,36,US,12
1050,M,28,US,2
1051,F,34,US,8
1052,M,39,US,23
1053,,43,US,1
1054,M,36,US,3
1055,M,40,US,5
1056,,35,US,3
1057,F,40,US,5
1058,,31,US,3
1059,F,37,US,2
1060,,32,US,6
1061,M,32,CA,10
1062,M,33,US,7
1063,F,49,CA,16
1064,M,43,CA,10
1065,M,41,US,22
1066,F,38,US,12
1067,M,42,US,3
1068,M,48,US,41
1069,M,51,US,4
1070,M,42,US,8
1071,M,37,US,7
1072,F,47,US,4
1073,,30,US,9
1074,M,26,CA,2
1075,,54,US,3
1076,,39,US,2
1077,F,50,US,8
1078,F,28,US,16
1079,F,50,US,9
1080,,52,US,12
1081,,28,US,9
1082,F,42,US,11
1083,F,24,US,3
1084,F,29,US,5
1085,F,28,US,3
1086,F,30,US,7
1087,,54,US,9
1088,,35,US,1
1089,,21,CA,15
1090,M,31,US,11
1091,F,45,US,2
1092,F,54,US,7
1093,F,44,US,19
1094,M,28,US,8
1095,,41,US,19
1096,F,24,US,5
1097,M,47,CA,3
1098,F,50,US,18
1099,F,27,US,2
1100,M,50,US,2
1101,,46,US,31
1102,F,50,US,18
1103,F,27,US,8
1104,,34,US,2
1105,,51,CA,5
1106,,41,US,22
1107,F,45,US,12
1108,F,26,US,11
1109,,49,CA,2
1110,F,53,US,2
1111,F,48,US,4
1112,,44,US,5
1113,,36,US,7
1114,F,33,US,6
1115,M,30,US,11
1116,M,29,US,15
1117,M,31,US,2
1118,,24,US,64
1119,F,34,US,10
1120,F,47,US,14
1121,,49,US,49
1122,M,40,CA,2
1123,,28,US,3
1124,M,29,US,3
1125,F,48,US,12
1126,,33,US,1
1127,M,35,US,1
1128,M,51,US,5
1129,M,46,US,26
1130,,51,US,8
1131,,35,US,2
1132,M,37,US,3
1133,M,54,US,26
1134,F,26,US,17
1135,M,36,US,7
1136,F,38,US,15
1137,,51,US,4
1138,,40,US,6
1139,M,37,US,6
1140,M,21,CA,13
1141,,23,CA,8
1142,M,36,US,30
1143,M,31,US,8
1144,,40,US,3
1145,F,40,US,7
1146,M,23,US,9
1147,M,40,US,2
1148,,42,US,5
1149,F,29,US,12
1150,M,21,CA,2
1151,M,27,US,45
1152,F,40,US,2
1153,M,26,US,16
1154,F,25,CA,29
1155,F,51,US,6
1156,,40,US,4
1157,M,45,US,24
1158,F,27,US,28
1159,,41,US,1
1160,F,40,US,23
1161,M,36,US,3
1162,M,33,US,9
1163,F,24,US,3
1164,M,50,US,1
1165,,50,US,5
1166,,24,US,5
1167,,47,US,10
1168,M,51,US,6
1169,M,23,US,7
1170,F,31,US,28
1171,,24,US,29
1172,,54,US,3
1173,F,54,CA,14
1174,,50,US,18
1175,F,24,US,12
1176,M,43,US,17
1177,M,32,US,14
1178,M,22,US,11
1179,M,31,US,5
1180,M,52,US,11
1181,,53,US,28
1182,F,52,CA,22
1183,M,29,US,17
1184,M,21,US,22
1185,F,46,US,6
1186,M,50,US,17
1187,M,46,US,20
1188,F,34,US,47
1189,,37,US,14
1190,F,49,US,11
1191,F,53,US,3
1192,M,44,CA,25
1193,,52,US,9
1194,M,28,US,14
1195,,41,US,30
1196,M,43,US,27
1197,F,26,US,18
1198,F,24,CA,7
1199,,51,US,8
1200,F,37,US,2
1201,,23,US,2
1202,,21,US,9
1203,,40,US,14
1204,F,30,US,3
1205,,29,US,8
1206,,34,US,8
1207,F,30,US,1
1208,M,38,US,5
1209,M,43,US,4
1210,F,34,US,1
1211,M,43,US,16
1212,F,35,US,7
1213,M,50,US,2
1214,,24,US,6
1215,F,22,US,12
1216,F,32,US,3
1217,,51,CA,21
1218,F,50,US,4
1219,,44,US,3
1220,F,26,US,33
1221,F,51,US,5
1222,M,42,US,4
1223,F,26,US,29
1224,,21,US,28
1225,F,50,CA,1
1226,M,50,US,7
1227,,49,US,15
1228,F,28,CA,19
1229,M,21,US,19
1230,M,36,US,3
1231,M,49,US,14
1232,F,24,US,37
1233,F,33,US,2
1234,M,40,US,30
1235,F,26,US,1
1236,F,36,US,6
1237,,26,US,1
1238,F,51,US,10
1239,M,25,US,13
1240,M,23,US,6
1241,,25,US,8
1242,,49,CA,5
1243,,45,US,9
1244,,48,US,12
1245,F,50,US,11
1246,M,47,US,6
1247,F,40,US,7
1248,F,48,US,14
1249,,29,CA,14
1250,,39,US,7
1251,,27,US,9
1252,,33,US,8
1253,F,41,US,3
1254,M,25,US,2
1255,F,42,US,1
1256,F,34,US,16
1257,,45,US,7
1258,,43,US,10
1259,F,48,US,11
1260,F,40,US,21
1261,F,22,US,13
1262,,27,US,6
1263,M,33,US,7
1264,,49,US,1
1265,F,26,US,3
1266,,26,US,15
1267,,33,US,18
1268,F,42,US,4
1269,M,31,US,29
1270,,53,US,52
1271,M,46,US,2
1272,,37,US,1
1273,M,46,US,11
1274,M,45,CA,11
1275,F,53,US,4
1276,M,24,US,11
1277,F,23,US,8
1278,,27,US,2
1279,,24,US,4
1280,M,45,US,20
1281,M,39,US,3
1282,,23,US,5
1283,M,31,US,7
1284,M,42,US,4
1285,M,38,US,18
1286,M,35,US,15
1287,F,48,US,4
1288,M,29,CA,2
1289,M,35,US,2
1290,F,28,US,15
1291,F,54,CA,33
1292,F,42,US,10
1293,F,28,US,14
1294,F,39,US,2
1295,M,47,US,15
1296,M,30,US,26
1297,M,37,US,3
1298,F,42,US,9
1299,F,21,US,4
1300,F,51,CA,14
1301,M,37,US,16
1302,M,32,US,10
1303,M,22,US,3
1304,F,36,US,19
1305,M,34,US,24
1306,F,34,US,2
1307,F,23,US,20
1308,F,39,US,8
1309,M,44,US,5
1310,,46,US,3
1311,F,36,CA,1
1312,,32,US,15
1313,,25,US,12
1314,F,29,US,10
1315,F,53,US,9
1316,F,26,US,47
1317,F,32,US,19
1318,M,24,US,7
1319,,35,US,9
1320,M,46,US,3
1321,F,34,US,6
1322,,28,US,2
1323,F,39,US,33
1324,F,44,US,5
1325,M,21,US,5
1326,M,34,US,8
1327,M,32,US,8
1328,,24,US,6
1329,F,47,US,5
1330,F,32,US,8
1331,,36,US,1
1332,M,29,US,36
1333,,21,US,15
1334,F,32,US,5
1335,F,22,US,2
1336,F,39,US,16
1337,F,42,US,8
1338,,36,US,7
1339,,47,US,3
1340,M,29,US,8
1341,F,32,US,9
1342,M,45,US,6
1343,M,51,US,6
1344,M,52,US,4
1345,,46,US,2
1346,F,40,US,6
1347,F,39,US,10
1348,F,43,US,1
1349,F,23,US,2
1350,,28,US,6
1351,F,47,US,9
1352,,41,US,2
1353,F,53,US,11
1354,F,37,US,5
1355,,50,US,22
1356,F,48,US,10
1357,M,24,US,8
1358,M,30,CA,1
1359,F,27,US,2
1360,,35,US,13
1361,M,38,US,7
1362,M,40,US,4
1363,,27,US,2
1364,,51,US,1
1365,M,51,US,8
1366,F,49,US,7
1367,M,50,US,16
1368,,24,US,1
1369,,41,US,5
1370,M,24,US,22
1371,,21,US,12
1372,,47,US,5
1373,M,31,US,27
1374,F,35,US,9
1375,F,26,CA,47
1376,F,49,CA,18
1377,,46,CA,7
1378,M,32,US,11
1379,M,25,US,3
1380,F,48,US,7
1381,F,28,US,8
1382,F,52,US,5
1383,F,31,US,7
1384,F,21,US,9
1385,F,50,US,1
1386,F,50,US,1
1387,,52,US,19
1388,,52,US,4
1389,F,23,US,14
1390,F,21,US,11
1391,F,23,CA,3
1392,,46,US,13
1393,M,24,US,12
1394,,47,US,3
1395,,37,US,19
1396,,49,US,2
1397,F,36,CA,8
1398,M,51,US,6
1399,F,41,US,25
1400,,41,US,18
1401,F,49,US,5
1402,,50,US,8
1403,M,48,US,6
1404,,22,US,5
1405,F,26,US,6
1406,,32,US,15
1407,M,32,US,4
1408,M,52,US,2
1409,M,54,US,7
1410,F,43,US,2
